trial,choice,outcome,choice_rt,true_prob_A
1,1,1,10.6957466920139,0.7
2,0,0,1.25681808742229,0.7
3,1,1,0.549216259387322,0.7
4,1,0,0.414715931168757,0.7
5,0,1,0.905236396472901,0.7
6,0,1,0.617365340294782,0.7
7,0,1,0.44466833473416,0.7
8,0,0,0.507807311078068,0.7
9,1,1,1.16442715731682,0.7
10,1,1,0.370032010076102,0.7
11,0,0,0.492492440214846,0.7
12,1,0,0.869630619126838,0.7
13,1,1,0.75409848644631,0.7
14,1,1,0.46390573476674,0.7
15,1,0,0.424271219118964,0.7
16,0,0,0.381988211127464,0.7
17,0,0,0.76902171142865,0.7
18,0,1,1.21958900761092,0.3
19,0,1,0.451706835767254,0.3
20,0,1,0.819428482907824,0.3
21,0,0,0.46282402111683,0.3
22,0,0,0.939827749272808,0.3
23,1,0,0.459934282931499,0.3
24,1,1,0.334816777380183,0.3
25,1,0,0.722683678439353,0.3
26,1,1,0.667167554842308,0.3
27,1,0,0.766377621155698,0.3
28,0,1,0.718582857283764,0.3
29,0,1,2.17965044477023,0.3
30,0,1,2.08753122115741,0.3
31,0,0,1.34340322110802,0.3
32,0,1,1.05591495026601,0.3
33,0,0,5.70698628295213,0.7
34,0,0,5.13084344821982,0.7
35,0,0,0.996928716660477,0.7
36,1,1,1.94598970201332,0.7
37,1,0,4.79564699099865,0.7
38,1,0,0.562749806558713,0.7
39,1,0,0.757956249290146,0.7
40,0,0,0.771506591001526,0.7
41,0,0,1.72439670551103,0.7
42,0,0,0.509902607533149,0.7
43,1,0,1.00413249753183,0.7
44,1,1,0.734431348275393,0.7
45,1,0,5.64990714931628,0.7
46,0,0,0.646333044744097,0.7
47,0,0,0.46880248747766,0.7
48,0,1,0.395952449238393,0.7
49,0,0,0.36788204475306,0.7
50,1,1,0.608843882917427,0.7
51,1,1,0.414981859328691,0.7
52,1,0,0.461437321093399,0.3
53,1,0,0.398224425618537,0.3
54,1,0,0.371019859390799,0.3
55,0,0,0.493617059313692,0.3
56,0,1,0.335955791990273,0.3
57,0,1,0.329662359319627,0.3
58,0,1,0.404594744730275,0.3
59,0,1,0.389599315647501,0.3
60,0,1,0.344401254842523,0.3
61,0,0,0.415270540281199,0.3
62,0,1,0.35925973916892,0.3
63,0,0,0.40957270655781,0.3
64,0,1,0.397864705591928,0.3
65,0,0,0.408789762819652,0.3
66,0,0,0.444309691956732,0.3
67,0,1,0.362293172918726,0.3
68,0,0,1.5166329156491,0.3
69,0,1,6.4146187628503,0.3
70,0,0,2.26904584025033,0.7
71,0,1,4.75474586838391,0.7
72,0,1,0.685230978473555,0.7
73,0,0,0.446278858289588,0.7
74,0,1,0.477207838208415,0.7
75,0,0,0.29663491906831,0.7
76,0,0,0.394869334704708,0.7
77,0,0,0.38054689305136,0.7
78,0,1,0.384281402046327,0.7
79,0,0,0.303216882923152,0.7
80,0,1,0.373073416645639,0.7
81,0,0,0.336067425669171,0.7
82,0,1,0.354854225646704,0.7
83,0,0,0.386296548240352,0.7
84,1,1,0.440205739170779,0.7
85,1,0,0.344398939167149,0.3
86,1,0,0.286061330174562,0.3
87,1,1,0.368860719085205,0.3
88,1,1,0.327257963828743,0.3
89,1,0,0.317846954800189,0.3
90,1,1,0.377750193001702,0.3
91,1,1,0.543441058311146,0.3
92,1,0,0.405151349317748,0.3
93,1,0,0.388450768368784,0.3
94,1,0,0.334672482917085,0.3
95,1,1,0.360776077373885,0.3
96,1,0,0.328111669339705,0.3
97,1,0,0.35472472110996,0.3
98,0,1,0.511196178442333,0.3
99,0,0,0.268505811109208,0.3
100,0,1,0.361320968368091,0.3
101,0,1,0.485598687431775,0.3
102,0,0,0.598143773910124,0.7
103,0,0,0.769312421150971,0.7
104,0,0,0.710531302029267,0.7
105,0,0,0.731804067327175,0.7
106,0,0,0.295859811129048,0.7
107,0,0,0.3335750210681,0.7
108,0,0,0.30618845828576,0.7
109,1,1,0.400319978478365,0.7
110,1,1,0.500433630135376,0.7
111,1,1,0.346394358261023,0.7
112,1,1,0.365702640265226,0.7
113,1,1,0.323990682896692,0.7
114,1,1,0.333824663830455,0.7
115,1,0,0.387984249275178,0.7
116,1,0,0.285226530162618,0.7
117,1,0,0.380037492024712,0.7
118,0,0,0.491682677355129,0.7
119,0,0,0.330803252756596,0.7
120,0,0,0.393629477359354,0.7
121,1,0,0.533025849261321,0.3
122,1,0,0.429120206565131,0.3
123,1,0,0.383424221130554,0.3
124,0,0,0.345540368405636,0.3
125,0,1,0.425796711118892,0.3
126,0,0,0.377012711076532,0.3
127,0,1,0.358793611056171,0.3
128,0,1,0.323936005530413,0.3
129,0,0,0.444145020155702,0.3
130,0,0,0.364048953808378,0.3
131,0,1,0.528589697554708,0.3
132,0,0,0.737139282922726,0.3
133,0,1,0.477267750306055,0.3
134,0,1,0.444296088477131,0.3
135,0,1,0.110908011090942,0.3
